Title: GRB Formation Rate inferred from the Spectral Peak Energy - Peak 
       Luminosity Relation  
Authors: Yonetoku D., Murakami T., Nakamura T., Yamazaki R., Inoue A.K., 
         Ioka K. 
Table: Redshifts and luminosities estimated by E_p_-L relation
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     Num    Trigger number 
   6- 11 F6.1   keV     Ep     Spectral peak energy  
  13- 17 F5.1   keV   E_Ep     Upper limit error in Ep 
  19- 23 F5.1   keV   e_Ep     Lower limit error in Ep
  25- 29 F5.2   ---     z      Redshift    
  31- 34 F4.2   ---   E_z      Upper limit error in z     
  36- 40 F5.2   ---   e_z      Lower limit error in z
  42- 48 E7.2   10-7W   Lum    Luminosity in units of erg/s 
  50- 59 E10.2  10-7W E_Lum    Upper limit error in Lum
  61- 69 E9.2   10-7W e_Lum    Lower limit error in Lum
--------------------------------------------------------------------------------
2122  101.9  26.8  39.0  1.30 0.45  0.94 1.29E52    0.84E52   3.62E52
2123  104.3  14.8  15.7  3.48 1.00  1.59 5.12E52    2.84E52   7.32E52
2138  238.4  12.0  19.9  2.46 0.24  0.45 1.60E53    0.35E53   0.80E53
2148   90.0  56.9  54.4  2.27 1.72  5.65 2.03E52    1.97E52  36.89E52
2151  146.8   3.5   3.6  0.30 0.01  0.01 8.60E51    0.51E51   0.53E51
2156  381.2   9.4   9.8  2.40 0.11  0.12 3.94E53    0.44E53   0.51E53
2188   97.7  22.2  14.5 10.20 5.97 11.82 2.81E53    2.44E53  12.83E53
2197   50.5  30.5  35.3  1.72 1.23  3.96 4.43E51    4.22E51  72.63E51
2211  103.0  14.4   2.3  2.78 0.72  0.14 3.55E52    1.83E52   0.44E52
2213  300.5  25.5  27.3  9.97 2.96  5.45 2.55E54    1.41E54   4.24E54
2228  192.7  13.3  14.7  2.18 0.27  0.34 8.83E52    2.41E52   3.69E52
