                       trigger             logPbol_1eV_20MeV             logSbol_1eV_20MeV                        logEpk                    logEPR1024                        logEFR                    logFPR1024                        logT90
                          1740                 -0.149988E+02                 -0.125182E+02                  0.572883E+01                  0.207276E+02                  0.182470E+02                  0.248057E+01                  0.415292E+01
                          7533                 -0.149116E+02                 -0.137242E+02                  0.513476E+01                  0.200464E+02                  0.188589E+02                  0.118744E+01                  0.226176E+01
                          7064                 -0.140983E+02                 -0.119764E+02                  0.598442E+01                  0.200827E+02                  0.179608E+02                  0.212190E+01                  0.371577E+01
                          7576                 -0.154553E+02                 -0.123241E+02                  0.581403E+01                  0.212694E+02                  0.181381E+02                  0.313129E+01                  0.344554E+01
                          6271                 -0.147439E+02                 -0.122707E+02                  0.583705E+01                  0.205810E+02                  0.181077E+02                  0.247321E+01                  0.409600E+01
                          5470                 -0.121917E+02                 -0.102877E+02                  0.676500E+01                  0.189567E+02                  0.170527E+02                  0.190401E+01                  0.341443E+01
                          1579                 -0.127320E+02                 -0.104665E+02                  0.668210E+01                  0.194141E+02                  0.171486E+02                  0.226551E+01                  0.429688E+01
                          1291                 -0.137975E+02                 -0.119356E+02                  0.598902E+01                  0.197865E+02                  0.179247E+02                  0.186187E+01                  0.272785E+01
                          3350                 -0.144684E+02                 -0.122591E+02                  0.582554E+01                  0.202939E+02                  0.180846E+02                  0.220933E+01                  0.256955E+01
                          2437                 -0.154152E+02                 -0.135752E+02                  0.517391E+01                  0.205891E+02                  0.187491E+02                  0.184000E+01                  0.276633E+01
                          3370                 -0.148923E+02                 -0.132144E+02                  0.535121E+01                  0.202435E+02                  0.185656E+02                  0.167789E+01                  0.364884E+01
                          2419                 -0.150569E+02                 -0.123635E+02                  0.575416E+01                  0.208110E+02                  0.181177E+02                  0.269333E+01                  0.433416E+01
                          5632                 -0.139673E+02                 -0.102905E+02                  0.673276E+01                  0.207001E+02                  0.170233E+02                  0.367677E+01                  0.390014E+01
                          8062                 -0.147036E+02                 -0.119194E+02                  0.595909E+01                  0.206627E+02                  0.178784E+02                  0.278429E+01                  0.489336E+01
